assessment_name,url,description,test_type,category
Reviewing Forms - US (R1),https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,,K,General
Ruby (New),https://www.shl.com/products/product-catalog/view/ruby-new/,,K,General
Ruby on Rails (New),https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,,K,General
Sales & Service Phone Simulation,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,,K,General
Sales & Service Phone Solution,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,,K,General
Sales Interview Guide,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,,K,General
Sales Profiler Cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,,K,General
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,,K,General
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,,K,General
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,,K,General
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,,K,General
Salesforce Development (New),https://www.shl.com/products/product-catalog/view/salesforce-development-new/,,K,General
SAP ABAP (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/,,K,General
SAP ABAP (Intermediate Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/,,K,General
SAP Basis (New),https://www.shl.com/products/product-catalog/view/sap-basis-new/,,K,General
SAP Business Objects WebI (New),https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,,K,General
SAP BW (Business Warehouse) (New),https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/,,K,General
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,,K,General
SAP Hybris (New),https://www.shl.com/products/product-catalog/view/sap-hybris-new/,,K,General
SAP Materials Management (New),https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,,K,General
SAP SD (Sales and Distribution) (New),https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,,K,General
Search Engine Optimization (New),https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,,K,General
Selenium (New),https://www.shl.com/products/product-catalog/view/selenium-new/,,K,General
Shell Scripting (New),https://www.shl.com/products/product-catalog/view/shell-scripting-new/,,K,General
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,,K,General
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,,K,General
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,,K,General
SHL Verify Interactive G+,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,,K,General
SHL Verify Interactive Numerical Calculation,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,,K,General
Siebel Development (New),https://www.shl.com/products/product-catalog/view/siebel-development-new/,,K,General
Smart Interview Live,https://www.shl.com/products/product-catalog/view/smart-interview-live/,,K,General
Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,,K,General
Smart Interview On Demand,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/,,K,General
Social Media (New),https://www.shl.com/products/product-catalog/view/social-media-new/,,K,General
Software Business Analysis,https://www.shl.com/products/product-catalog/view/software-business-analysis/,,K,General
SonarQube (New),https://www.shl.com/products/product-catalog/view/sonarqube-new/,,K,General
Spelling (U.S.) (New),https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,,K,General
Split Screen Typing Test - Form 1,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/,,K,General
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,,K,General
SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,,K,General
SQL Server (New),https://www.shl.com/products/product-catalog/view/sql-server-new/,,K,General
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,,K,General
SQL Server Integration Services (SSIS) (New),https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,,K,General
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,,K,General
Statistical Analysis System (New),https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,,K,General
Struts (New),https://www.shl.com/products/product-catalog/view/struts-new/,,K,General
SVAR - Spoken English (AUS),https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,,K,General
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,,K,General
SVAR - Spoken English (U.K.),https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/,,K,General
SVAR - Spoken English (US)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/,,K,General
SVAR - Spoken French (Canadian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/,,K,General
SVAR - Spoken French (European) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,,K,General
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,,K,General
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,,K,General
Swing (New),https://www.shl.com/products/product-catalog/view/swing-new/,,K,General
Tableau (New),https://www.shl.com/products/product-catalog/view/tableau-new/,,K,General
Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/telecommunications-engineering-new/,,K,General
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,,K,General
Time Management (U.S.),https://www.shl.com/products/product-catalog/view/time-management-u-s/,,K,General
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,,K,General
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,,K,General
UiPath RPA Development (New),https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,,K,General
Universal Competency Framework Interview Guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-interview-guide/,,K,General
Universal Competency Framework Profiler Cards (44),https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,,K,General
UNIX (New),https://www.shl.com/products/product-catalog/view/unix-new/,,K,General
VB.NET (New),https://www.shl.com/products/product-catalog/view/vb-net-new/,,K,General
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,,K,General
Verify - Following Instructions,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,,K,General
Verify - G+,https://www.shl.com/products/product-catalog/view/verify-g/,,K,General
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,,K,General
Verify - Inductive Reasoning (2014),https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,,K,General
Verify - Numerical Ability,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,,K,General
Verify - Technical Checking - Next Generation,https://www.shl.com/products/product-catalog/view/verify-technical-checking-next-generation/,,K,General
Verify - Verbal Ability - Next Generation,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,,K,General
Verify - Working with Information,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,,K,General
Verify G+ - Ability Test Report,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,,K,General
Verify G+ - Candidate Report,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,,K,General
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,,K,General
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,,K,General
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,,K,General
Verify Interactive Process Monitoring,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,,K,General
Virtual Assessment and Development Centers,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,,K,General
Visual Basic for Applications (New),https://www.shl.com/products/product-catalog/view/visual-basic-for-applications-new/,,K,General
Visual Comparison - UK,https://www.shl.com/products/product-catalog/view/visual-comparison-uk/,,K,General
Visual Comparison - US,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,,K,General
VLSI and Embedded Systems (New),https://www.shl.com/products/product-catalog/view/vlsi-and-embedded-systems-new/,,K,General
What Is The Value - US,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,,K,General
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,,K,General
Workplace Health and Safety (New),https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,,K,General
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,,K,General
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,,K,General
WriteX - Email Writing (Sales) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-sales-new/,,K,General
Written English v1,https://www.shl.com/products/product-catalog/view/written-english-v1/,,K,General
Written Spanish,https://www.shl.com/products/product-catalog/view/written-spanish/,,K,General
Zabbix (New),https://www.shl.com/products/product-catalog/view/zabbix-new/,,K,General
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,,K,General
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,,K,General
