assessment_name,url,description,test_type,category
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,,K,General
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,,K,General
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,,K,General
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,,K,General
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,,K,General
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,,K,General
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,,K,General
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,,K,General
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,,K,General
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,,K,General
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,,K,General
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,,K,General
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,,K,General
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,,K,General
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,,K,General
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,,K,General
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,,K,General
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,,K,General
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,,K,General
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,,K,General
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,,K,General
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,,K,General
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,,K,General
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,,K,General
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,,K,General
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,,K,General
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,,K,General
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,,K,General
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,,K,General
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,,K,General
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,,K,General
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,,K,General
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,,K,General
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,,K,General
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,,K,General
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,,K,General
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,,K,General
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,,K,General
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,,K,General
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,,K,General
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,,K,General
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,,K,General
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,,K,General
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,,K,General
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,,K,General
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,,K,General
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,,K,General
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,,K,General
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,,K,General
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,,K,General
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,,K,General
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,,K,General
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,,K,General
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,,K,General
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,,K,General
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,,K,General
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,,K,General
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,,K,General
